Table 1
"Annual supply and utilization, milk in all products, milk-equivalent milk-fat basis, ",,,,,,,,,,,,,,
2011–current (millions of pounds),,,,,,,,,,,,,Back to content page.,
,,Farm milk supply,,,,,Utilization,,,Annual adjustments,,,,
Year,"Beginning stocks 
[A]",Production [B],"Farm use 
[C]","Marketings 
[D] 
= [B - C]","Imports 
[E]","Total supply 
[F] 
= [A + D + E]",Exports [G],Ending stocks [H],"Domestic disappearance 
[I] 
= [F - G - H]","House-hold farm use 
[J]",Net shipments to U.S. territories1 [K],"Domestic use of dairy products as animal feed2
[L]","Other uses3
[M]","Apparent domestic human use 
[N] 
= [I + J] 
- [K + L + M]"
2011,"10,053","196,255",965,"195,290","3,505","208,848","9,056","10,186","189,606",98,"1,149",167,294,"188,094"
2012,"10,186","200,642",956,"199,686","4,110","213,982","8,506","11,372","194,104",98,985,155,294,"192,768"
2013,"11,372","201,260",977,"200,283","3,771","215,426","12,074","10,306","193,046",100,972,85,307,"191,782"
2014,"10,306","206,048",966,"205,082","4,372","219,760","12,174","10,443","197,143",92,953,147,338,"195,797"
2015,"10,443","208,508",971,"207,537","5,759","223,739","8,501","12,287","202,951",91,911,167,442,"201,522"
2016,"12,287","212,451",994,"211,457","6,936","230,680","8,388","12,674","209,618",94,920,119,488,"208,186"
2017,"12,674","215,527",992,"214,535","5,989","233,198","9,212","13,397","210,589",91,940,93,474,"209,173"
2018,"13,397","217,568","1,017","216,551","6,294","236,242","10,374","13,790","212,078",89,931,169,462,"210,605"
2019,"13,790","218,441","1,022","217,419","6,940","238,149","9,101","13,623","215,425",89,989,153,407,"213,965"
2020,"13,623","223,309","1,079","222,230","6,778","242,631","9,266","15,614","217,751",86,"1,092",101,782,"215,863"
2021,"15,614","226,258","1,042","225,216","6,535","247,365","11,541","14,339","221,485",84,"1,049",113,709,"219,699"
NA = not available.,,,,,,,,,,,,,,
1 Includes U.S. net shipments to Puerto Rico and the U.S. Virgin Islands. Data are not available for U.S. shipments to other U.S. territories.,,,,,,,,,,,,,,
"2 Domestic use of dairy products as animal feed estimates are based on data from the American Dairy Products Institute (ADPI). For data beginning in 2019, ADPI broadened reporting for animal use of some whey products. Data are not available for animal use of some dairy products. For more information, see the USDA, ERS Dairy Data Documentation web page.",,,,,,,,,,,,,,
"3 The ""Other uses"" column includes milk pooled on Federal Milk Marketing Orders (FMMOs), or products produced from milk pooled on FMMOs, “that is dumped, used for animal feed, destroyed, or lost by a handler in a vehicular accident, flood, fire, or similar occurrence beyond the handler’s control” (7 CFR §1000.40 (e)). Data are not available for such occurrences related to milk not pooled on FMMOs.",,,,,,,,,,,,,,
"Sources: USDA, Economic Research Service (ERS) using USDA, National Agricultural Statistics Service; USDA, Foreign Agricultural Service; USDA, Agricultural Marketing Service; U.S. Department of Commerce, Bureau of the Census; and ADPI.",,,,,,,,,,,,,,
"Numerous sources were used for conversion factors. For more information, see the section for this dataset on the USDA, ERS Dairy Data Documentation web page.  ",,,,,,,,,,,,,,
Last update: 1/17/2023,,,,,,,,,,,,,,
