Table 1
"Monthly supply and utilization, milk in all products, milk-equivalent milk-fat basis, ",,,,,,,,,,
2011–current (millions of pounds),,,,,,,,,Back to content page.,
,,,Farm milk supply,,,,,Utilization,,
Year,Month,"Beginning stocks 
[A]",Production [B],"Farm use 
[C]","Marketings 
[D] 
= [B - C]","Imports 
[E]","Total supply 
[F] 
= [A + D + E]",Exports [G],Ending stocks [H],"Domestic disappearance
[I] 
= [F - G - H]"
2011,Jan,"10,053","16,396",82,"16,314",238,"26,605",638,"10,918","15,049"
,Feb,"10,918","15,075",74,"15,001",221,"26,140",762,"11,273","14,105"
,Mar,"11,273","16,990",82,"16,908",299,"28,480",958,"11,487","16,035"
,Apr,"11,487","16,657",79,"16,578",243,"28,308",887,"11,689","15,732"
,May,"11,689","17,279",82,"17,197",212,"29,098",877,"12,556","15,665"
,Jun,"12,556","16,514",79,"16,435",238,"29,229",838,"13,264","15,127"
,Jul,"13,264","16,478",82,"16,396",280,"29,940",734,"13,670","15,536"
,Aug,"13,670","16,425",82,"16,343",275,"30,288",781,"13,003","16,504"
,Sep,"13,003","15,780",79,"15,701",250,"28,954",595,"12,225","16,134"
,Oct,"12,225","16,272",82,"16,190",356,"28,771",615,"11,207","16,949"
,Nov,"11,207","15,820",79,"15,741",423,"27,371",712,"9,817","16,842"
,Dec,"9,817","16,569",82,"16,487",470,"26,774",659,"10,186","15,929"
2012,Jan,"10,186","17,048",81,"16,967",263,"27,416",584,"11,950","14,882"
,Feb,"11,950","16,342",76,"16,266",275,"28,491",654,"12,902","14,935"
,Mar,"12,902","17,746",81,"17,665",327,"30,894",861,"13,252","16,781"
,Apr,"13,252","17,257",78,"17,179",306,"30,737",881,"14,622","15,234"
,May,"14,622","17,631",81,"17,550",316,"32,488","1,020","14,969","16,499"
,Jun,"14,969","16,712",78,"16,634",285,"31,888",771,"14,871","16,246"
,Jul,"14,871","16,610",81,"16,529",331,"31,731",721,"14,768","16,242"
,Aug,"14,768","16,431",81,"16,350",312,"31,430",647,"13,539","17,244"
,Sep,"13,539","15,713",78,"15,635",339,"29,513",542,"13,023","15,948"
,Oct,"13,023","16,277",81,"16,196",372,"29,591",651,"11,191","17,749"
,Nov,"11,191","16,015",78,"15,937",413,"27,541",546,"10,594","16,401"
,Dec,"10,594","16,860",81,"16,779",571,"27,944",628,"11,372","15,944"
2013,Jan,"11,372","17,119",83,"17,036",437,"28,845",690,"12,613","15,542"
,Feb,"12,613","15,762",75,"15,687",269,"28,569",714,"13,689","14,166"
,Mar,"13,689","17,681",83,"17,598",363,"31,650",882,"14,466","16,302"
,Apr,"14,466","17,260",80,"17,180",320,"31,966",829,"15,996","15,141"
,May,"15,996","17,829",83,"17,746",296,"34,038","1,011","16,795","16,232"
