Table 1
"Annual supply and utilization, milk in all products, milk-equivalent skim-solids basis, ",,,,,,,,,,,,,,
2011–current (millions of pounds),,,,,,,,,,,,,Back to content page.,
,,Farm milk supply,,,,,Utilization,,,Annual adjustments,,,,
Year,"Beginning stocks 
[A]",Production [B],"Farm use 
[C]","Marketings 
[D] 
= [B - C]","Imports 
[E]","Total supply 
[F] 
= [A + D + E]",Exports [G],Ending stocks [H],"Domestic disappearance 
[I] 
= [F - G - H]","House-hold farm use 
[J]",Net shipments to U.S. territories1 [K],"Domestic use of dairy products as animal feed2
[L]","Other uses3
[M]","Apparent domestic human use 
[N] 
= [I + J] 
- [K + L + M]"
2011,"7,135","196,255",965,"195,290","5,286","207,711","32,608","7,077","168,026",98,936,"5,612",294,"161,086"
2012,"7,077","200,642",956,"199,686","5,703","212,466","33,350","7,968","171,148",98,768,"5,431",294,"164,557"
2013,"7,968","201,260",977,"200,283","5,318","213,569","38,609","7,576","167,384",100,666,"4,086",307,"162,225"
2014,"7,576","206,048",966,"205,082","5,635","218,293","39,110","9,435","169,748",92,680,"5,631",338,"163,008"
2015,"9,435","208,508",971,"207,537","5,997","222,969","37,410","9,152","176,407",91,718,"6,356",442,"168,800"
2016,"9,152","212,451",994,"211,457","6,509","227,118","39,103","9,539","178,476",94,689,"5,683",488,"171,522"
2017,"9,539","215,527",992,"214,535","6,067","230,141","40,804","11,814","177,523",91,696,"4,265",474,"171,997"
2018,"11,814","217,568","1,017","216,551","5,489","233,854","44,638","10,684","178,532",89,648,"5,554",462,"171,779"
2019,"10,684","218,441","1,022","217,419","5,815","233,918","41,533","10,199","182,186",89,652,"9,386",407,"171,652"
2020,"10,199","223,309","1,079","222,230","5,600","238,029","47,217","10,877","179,935",86,739,"9,042",782,"169,287"
2021,"10,877","226,258","1,042","225,216","5,764","241,857","50,754","11,059","180,044",84,695,"6,340",709,"172,216"
NA = not available.,,,,,,,,,,,,,,
1 Includes U.S. net shipments to Puerto Rico and the U.S. Virgin Islands. Data are not available for U.S. shipments to other U.S. territories.,,,,,,,,,,,,,,
"2 Domestic use of dairy products as animal feed estimates are based on data from the American Dairy Products Institute (ADPI). For data beginning in 2019, ADPI broadened reporting for animal use of some whey products. Data are not available for animal use of some dairy products. For more information, see the USDA, ERS Dairy Data Documentation web page.",,,,,,,,,,,,,,
"3 The ""Other uses"" column includes milk pooled on Federal Milk Marketing Orders (FMMOs), or products produced from milk pooled on FMMOs, “that is dumped, used for animal feed, destroyed, or lost by a handler in a vehicular accident, flood, fire, or similar occurrence beyond the handler’s control” (7 CFR §1000.40 (e)). Data are not available for such occurrences related to milk not pooled on FMMOs.",,,,,,,,,,,,,,
"Sources: USDA, Economic Research Service (ERS) calculations using USDA, National Agricultural Statistics Service; USDA, Foreign Agricultural Service; USDA, Agricultural Marketing Service; U.S. Department of Commerce, Bureau of the Census; and ADPI.",,,,,,,,,,,,,,
"Numerous sources were used for conversion factors. For more information, see the section for this dataset on the USDA, ERS Dairy Data Documentation web page.  ",,,,,,,,,,,,,,
Last update: 1/17/2023,,,,,,,,,,,,,,
