Table 1
"Monthly supply and utilization, milk in all products, milk-equivalent skim-solids basis, ",,,,,,,,,,,
2011–current (millions of pounds),,,,,,,,,Back to content page.,,
,,,Farm milk supply,,,,,Utilization,,,
Year,Month,"Beginning stocks 
[A]",Production [B],"Farm use 
[C]","Marketings 
[D] 
= [B - C]","Imports 
[E]","Total supply 
[F] 
= [A + D + E]",Exports [G],Ending stocks [H],"Domestic disappearance 
[I] 
= [F - G - H]",
2011,Jan,"7,135","16,396",82,"16,314",378,"23,827","2,671","7,044","14,112",
,Feb,"7,044","15,075",74,"15,001",388,"22,433","2,547","6,871","13,015",
,Mar,"6,871","16,990",82,"16,908",523,"24,302","2,799","6,789","14,714",
,Apr,"6,789","16,657",79,"16,578",449,"23,816","2,573","7,292","13,951",
,May,"7,292","17,279",82,"17,197",354,"24,843","2,715","7,478","14,650",
,Jun,"7,478","16,514",79,"16,435",436,"24,349","2,819","7,820","13,710",
,Jul,"7,820","16,478",82,"16,396",497,"24,713","2,732","8,057","13,924",
,Aug,"8,057","16,425",82,"16,343",451,"24,851","2,917","7,595","14,339",
,Sep,"7,595","15,780",79,"15,701",372,"23,668","2,668","7,206","13,794",
,Oct,"7,206","16,272",82,"16,190",429,"23,825","2,663","6,937","14,225",
,Nov,"6,937","15,820",79,"15,741",538,"23,216","2,789","6,716","13,711",
,Dec,"6,716","16,569",82,"16,487",471,"23,674","2,715","7,077","13,882",
2012,Jan,"7,077","17,048",81,"16,967",497,"24,541","2,706","7,274","14,561",
,Feb,"7,274","16,342",76,"16,266",449,"23,989","2,608","7,803","13,578",
,Mar,"7,803","17,746",81,"17,665",445,"25,913","2,993","8,231","14,689",
,Apr,"8,231","17,257",78,"17,179",408,"25,818","2,888","8,550","14,380",
,May,"8,550","17,631",81,"17,550",553,"26,653","3,170","8,531","14,952",
,Jun,"8,531","16,712",78,"16,634",470,"25,635","3,003","7,957","14,675",
,Jul,"7,957","16,610",81,"16,529",554,"25,040","2,775","7,776","14,489",
,Aug,"7,776","16,431",81,"16,350",464,"24,590","2,938","7,192","14,460",
,Sep,"7,192","15,713",78,"15,635",401,"23,228","2,624","7,195","13,409",
,Oct,"7,195","16,277",81,"16,196",417,"23,808","2,675","6,843","14,290",
,Nov,"6,843","16,015",78,"15,937",490,"23,270","2,491","6,973","13,806",
,Dec,"6,973","16,860",81,"16,779",555,"24,307","2,479","7,968","13,860",
2013,Jan,"7,968","17,119",83,"17,036",565,"25,569","2,657","8,333","14,579",
,Feb,"8,333","15,762",75,"15,687",425,"24,445","2,701","8,838","12,906",
,Mar,"8,838","17,681",83,"17,598",519,"26,955","2,948","8,983","15,024",
,Apr,"8,983","17,260",80,"17,180",460,"26,623","3,444","8,849","14,330",
,May,"8,849","17,829",83,"17,746",367,"26,962","3,727","9,207","14,028",
,Jun,"9,207","16,948",80,"16,868",407,"26,482","3,447","9,342","13,693",
,Jul,"9,342","16,794",83,"16,711",393,"26,446","3,616","9,067","13,763",
,Aug,"9,067","16,796",83,"16,713",381,"26,161","3,598","8,541","14,022",
,Sep,"8,541","15,839",80,"15,759",328,"24,628","3,155","7,815","13,658",
,Oct,"7,815","16,462",83,"16,379",464,"24,658","3,241","7,154","14,263",
,Nov,"7,154","15,998",80,"15,918",458,"23,530","3,036","7,109","13,385",
,Dec,"7,109","16,772",83,"16,689",551,"24,349","3,039","7,576","13,734",
2014,Jan,"7,576","17,276",82,"17,194",479,"25,249","3,000","7,676","14,573",
,Feb,"7,676","15,897",74,"15,823",426,"23,925","2,967","8,135","12,823",
,Mar,"8,135","17,832",82,"17,750",524,"26,409","3,823","8,525","14,061",
,Apr,"8,525","17,484",79,"17,405",474,"26,404","3,578","8,836","13,990",
,May,"8,836","18,104",82,"18,022",374,"27,232","3,758","8,966","14,508",
,Jun,"8,966","17,329",79,"17,250",398,"26,614","3,641","9,250","13,723",
,Jul,"9,250","17,434",82,"17,352",481,"27,083","3,397","9,648","14,038",
,Aug,"9,648","17,223",82,"17,141",499,"27,288","3,209","9,182","14,897",
,Sep,"9,182","16,511",79,"16,432",485,"26,099","2,724","8,381","14,994",
,Oct,"8,381","17,066",82,"16,984",502,"25,867","3,083","8,697","14,087",
,Nov,"8,697","16,555",79,"16,476",460,"25,633","2,972","9,147","13,514",
,Dec,"9,147","17,337",82,"17,255",533,"26,935","2,958","9,435","14,542",
2015,Jan,"9,435","17,682",82,"17,600",476,"27,511","2,453","9,581","15,477",
,Feb,"9,581","16,169",74,"16,095",430,"26,106","2,647","9,657","13,802",
,Mar,"9,657","18,077",82,"17,995",515,"28,167","3,704","9,871","14,592",
,Apr,"9,871","17,795",80,"17,715",463,"28,049","3,831","10,056","14,162",
,May,"10,056","18,434",82,"18,352",544,"28,952","3,644","10,442","14,866",
