Table 1
"Annual supply and utilization, milk fat, 2011–current (millions of pounds)",,,,,,,,,,,,,,Back to content page.,
,,,Farm milk supply,,,,,Utilization,,,Annual adjustments,,,,
Year,Milk-fat test,"Beginning stocks 
[A]",Production1 [B],"Farm use 
[C]","Marketings 
[D] 
= [B - C]","Imports 
[E]","Total supply 
[F] 
= [A + D + E]",Exports [G],Ending stocks [H],"Domestic disappearance 
[I] 
= [F - G - H]","House-hold farm use
[J]",Net shipments to U.S. territories2 [K],"Domestic use of dairy products as animal feed3
[L]","Other uses4
[M]","Apparent domestic human use 
[N] 
= [I + J] 
- [K + L + M]"
,,,,,,,,,,,,,,,
2011,3.71,387.0,"7,277.7",35.8,"7,241.9",130.4,"7,759.4",335.5,390.1,"7,033.7",3.6,42.6,6.2,10.9,"6,978"
2012,3.72,390.1,"7,454.2",35.5,"7,418.7",153.2,"7,962.1",315.2,438.9,"7,207.9",3.6,36.6,5.8,10.9,"7,158"
2013,3.76,438.9,"7,558.9",36.7,"7,522.2",141.8,"8,103.0",452.8,400.9,"7,249.3",3.8,36.5,3.2,11.5,"7,202"
2014,3.74,400.9,"7,702.1",36.1,"7,665.9",163.9,"8,230.8",454.7,403.1,"7,372.9",3.4,35.6,5.5,12.6,"7,323"
2015,3.75,403.1,"7,813.2",36.4,"7,776.8",215.8,"8,395.8",318.2,479.2,"7,598.4",3.4,34.1,6.3,16.5,"7,545"
2016,3.79,479.2,"8,057.5",37.7,"8,019.8",263.4,"8,762.5",318.7,503.2,"7,940.6",3.6,34.9,4.5,18.5,"7,886"
2017,3.84,503.2,"8,279.4",38.1,"8,241.3",230.3,"8,974.7",353.6,534.6,"8,086.6",3.5,36.1,3.6,18.2,"8,032"
2018,3.89,534.6,"8,468.1",39.6,"8,428.5",245.0,"9,208.0",403.1,557.1,"8,247.9",3.5,36.2,6.6,18.0,"8,191"
2019,3.92,557.1,"8,566.5",40.1,"8,526.4",271.4,"9,354.9",356.7,553.1,"8,445.1",3.5,38.8,6.0,15.9,"8,388"
2020,3.95,553.1,"8,822.5",42.6,"8,779.9",267.2,"9,600.2",365.3,644.8,"8,590.1",3.4,43.1,4.0,30.9,"8,515"
2021,4.01,644.8,"9,070.7",41.8,"9,028.9",261.4,"9,935.2",461.8,602.2,"8,871.1",3.4,42.0,4.5,28.4,"8,799"
NA = not available.,,,,,,,,,,,,,,,
"1 Due to rounding differences and timing of reports, annual milk-fat estimates for production in this table do not precisely match those published by USDA, National Agricultural Statistics Service. ",,,,,,,,,,,,,,,
2 Includes U.S. net shipments to Puerto Rico and the U.S. Virgin Islands. Data are not available for U.S. shipments to other U.S. territories.,,,,,,,,,,,,,,,
"3 Domestic use of dairy products as animal feed estimates are based on data from the American Dairy Products Institute (ADPI). For data beginning in 2019, ADPI broadened reporting for animal use of some whey products. Data are not available for animal use of some dairy products. For more information, see the USDA, ERS Dairy Data Documentation webpage.",,,,,,,,,,,,,,,
"4 The ""Other uses"" column includes milk pooled on Federal Milk Marketing Orders (FMMOs), or products produced from milk pooled on FMMOs, “that is dumped, used for animal feed, destroyed, or lost by a handler in a vehicular accident, flood, fire, or similar occurrence beyond the handler’s control” (7 CFR §1000.40 (e)). Data are not available for such occurrences related to milk not pooled on FMMOs.",,,,,,,,,,,,,,,
"Sources: USDA, Economic Research Service (ERS) calculations using USDA, National Agricultural Statistics Service; USDA, Foreign Agricultural Service; USDA, Agricultural Marketing Service; 
U.S. Department of Commerce, Bureau of the Census; and ADPI.",,,,,,,,,,,,,,,
"Numerous sources were used for conversion factors. For more information, see the section for this dataset on the USDA, ERS Dairy Data Documentation web page.  ",,,,,,,,,,,,,,,
Last update: 1/17/2023,,,,,,,,,,,,,,,
