Table 1
"Monthly supply and utilization, milk fat, 2011–current (millions of pounds)",,,,,,,,,,Back to content page.,
,,,,Farm milk supply,,,,,Utilization,,
Year,Month,Milk-fat test,"Beginning stocks 
[A]",Production [B],"Farm use 
[C]","Marketings 
[D] 
= [B - C]","Imports 
[E]","Total supply 
[F] 
= [A + D + E]",Exports [G],Ending stocks [H],"Domestic disappearance 
[I] 
= [F - G - H]"
,,,,,,,,,,,
2011,Jan,3.84,387.0,629.6,3.1,626.5,9.2,"1,022.7",24.5,419.3,578.9
,Feb,3.80,419.3,572.9,2.8,570.0,8.4,997.7,28.9,428.4,540.4
,Mar,3.75,428.4,637.1,3.1,634.1,11.2,"1,073.6",35.9,430.8,606.9
,Apr,3.71,430.8,618.0,2.9,615.0,9.0,"1,054.8",32.9,433.7,588.3
,May,3.66,433.7,632.4,3.0,629.4,7.7,"1,070.8",32.1,459.6,579.2
,Jun,3.60,459.6,594.5,2.9,591.6,8.6,"1,059.8",30.2,477.5,552.1
,Jul,3.56,477.5,586.6,2.9,583.7,10.0,"1,071.2",26.1,486.6,558.4
,Aug,3.57,486.6,586.4,2.9,583.4,9.8,"1,079.9",27.9,464.2,587.8
,Sep,3.64,464.2,574.4,2.9,571.5,9.1,"1,044.8",21.7,445.0,578.2
,Oct,3.73,445.0,606.9,3.1,603.9,13.3,"1,062.1",22.9,418.0,621.2
,Nov,3.82,418.0,604.3,3.0,601.3,16.1,"1,035.5",27.2,375.0,633.3
,Dec,3.83,375.0,634.6,3.1,631.5,18.0,"1,024.5",25.2,390.1,609.1
2012,Jan,3.80,390.1,647.8,3.1,644.7,10.0,"1,044.9",22.2,454.1,568.6
,Feb,3.75,454.1,612.8,2.8,610.0,10.3,"1,074.4",24.5,483.8,566.1
,Mar,3.72,483.8,660.2,3.0,657.1,12.2,"1,153.1",32.0,493.0,628.1
,Apr,3.68,493.0,635.1,2.9,632.2,11.2,"1,136.4",32.4,538.1,565.9
,May,3.63,538.1,640.0,2.9,637.1,11.5,"1,186.6",37.0,543.4,606.2
,Jun,3.60,543.4,601.6,2.8,598.8,10.3,"1,152.4",27.7,535.4,589.3
