Table 1
"Monthly supply and utilization, skim solids, 2011–current (millions of pounds)",,,,,,,,,,Back to content page.,
,,,,Farm milk supply,,,,,Utilization,,
Year,Month,Skim-solids test1,"Beginning stocks 
[A]",Production [B],"Farm use 
[C]","Marketings 
[D] 
= [B - C]","Imports 
[E]","Total supply 
[F] 
= [A + D + E]",Exports [G],Ending stocks [H],"Domestic disappearance 
[I] 
= [F - G - H]"
,,,,,,,,,,,
2011,Jan,8.88,635.1,"1,456.0",7.3,"1,448.7",33.6,"2,117.4",237.2,625.5,"1,254.7"
,Feb,8.85,625.5,"1,334.1",6.6,"1,327.6",34.3,"1,987.4",225.4,608.1,"1,153.9"
,Mar,8.84,608.1,"1,501.9",7.2,"1,494.7",46.2,"2,149.0",247.4,600.1,"1,301.4"
,Apr,8.82,600.1,"1,469.1",7.0,"1,462.2",39.6,"2,101.9",227.0,643.2,"1,231.7"
,May,8.79,643.2,"1,518.8",7.2,"1,511.6",31.1,"2,185.9",238.7,657.3,"1,289.9"
,Jun,8.75,657.3,"1,445.0",6.9,"1,438.0",38.2,"2,133.5",246.7,684.2,"1,202.6"
,Jul,8.69,684.2,"1,431.9",7.1,"1,424.8",43.2,"2,152.2",237.4,700.2,"1,214.7"
,Aug,8.72,700.2,"1,432.3",7.1,"1,425.1",39.3,"2,164.6",254.4,662.3,"1,248.0"
,Sep,8.81,662.3,"1,390.2",7.0,"1,383.2",32.8,"2,078.3",235.0,634.8,"1,208.5"
,Oct,8.88,634.8,"1,445.0",7.3,"1,437.7",38.1,"2,110.6",236.5,616.0,"1,258.1"
,Nov,8.93,616.0,"1,412.7",7.1,"1,405.6",48.1,"2,069.7",249.1,599.7,"1,220.9"
,Dec,8.93,599.7,"1,479.6",7.3,"1,472.3",42.0,"2,114.0",242.4,632.0,"1,239.6"
2012,Jan,8.91,632.0,"1,519.0",7.2,"1,511.8",44.3,"2,188.0",241.1,648.1,"1,298.8"
,Feb,8.89,648.1,"1,452.8",6.7,"1,446.1",39.9,"2,134.1",231.9,693.7,"1,208.5"
,Mar,8.86,693.7,"1,572.3",7.2,"1,565.1",39.4,"2,298.3",265.2,729.3,"1,303.8"
,Apr,8.85,729.3,"1,527.2",6.9,"1,520.3",36.1,"2,285.7",255.6,756.6,"1,273.5"
,May,8.82,756.6,"1,555.1",7.1,"1,547.9",48.8,"2,353.3",279.6,752.4,"1,321.3"
